time_s	dy_m
32.110119	0.031978
32.143463	0.031978
32.176807	0.031978
32.210151	0.031978
32.243495	0.031978
32.276839	0.031978
32.310182	0.031978
32.343526	0.031978
32.376870	0.031973
32.410214	0.032867
32.443558	0.032867
32.476902	0.032867
32.510246	0.032867
32.543589	0.032867
32.576933	0.032867
32.610277	0.032865
32.643621	0.032865
32.676965	0.032865
32.710309	0.032865
32.743652	0.032865
32.776996	0.032866
32.810340	0.032863
32.843684	0.032863
32.877028	0.032863
32.910372	0.032863
32.943715	0.032863
32.977059	0.032863
33.010403	0.032863
33.043747	0.032863
33.077091	0.032863
33.110435	0.032863
33.143778	0.032863
33.177122	0.032863
33.210466	0.032863
33.243810	0.032863
33.277154	0.032863
33.310498	0.032863
33.343842	0.032863
33.377185	0.032863
33.410529	0.032862
33.443873	0.033751
33.477217	0.033751
33.510561	0.033755
33.543905	0.033755
33.577248	0.033755
33.610592	0.033750
33.643936	0.033750
33.677280	0.033750
33.710624	0.033750
33.743968	0.033750
33.777311	0.033750
33.810655	0.033750
33.843999	0.033750
33.877343	0.033750
33.910687	0.033750
33.944031	0.033750
33.977375	0.033750
34.010718	0.033750
34.044062	0.033750
34.077406	0.033750
34.110750	0.033750
34.144094	0.033750
34.177438	0.033750
34.210781	0.033750
34.244125	0.033750
34.277469	0.033750
34.310813	0.033750
34.344157	0.033750
34.377501	0.033750
34.410844	0.033750
34.444188	0.033750
34.477532	0.033750
34.510876	0.033750
34.544220	0.033750
34.577564	0.033750
34.610908	0.033750
34.644251	0.033750
34.677595	0.033750
34.710939	0.033750
34.744283	0.033750
34.777627	0.033750
34.810971	0.033749
34.844314	0.034637
34.877658	0.032844
34.911002	0.033759
34.944346	0.032859
34.977690	0.033754
35.011034	0.033753
35.044377	0.033754
35.077721	0.033753
35.111065	0.033753
35.144409	0.033753
35.177753	0.033754
35.211097	0.033754
35.244441	0.033753
35.277784	0.033754
35.311128	0.033754
35.344472	0.033754
35.377816	0.033754
35.411160	0.033754
35.444504	0.033754
35.477847	0.033743
35.511191	0.034637
35.544535	0.034637
35.577879	0.034637
35.611223	0.034637
35.644567	0.034635
35.677910	0.035525
35.711254	0.035526
35.744598	0.035526
35.777942	0.035524
35.811286	0.035527
35.844630	0.035524
35.877974	0.035527
35.911317	0.035524
35.944661	0.035524
35.978005	0.035524
36.011349	0.035524
36.044693	0.035524
36.078037	0.035523
36.111380	0.036419
36.144724	0.036419
36.178068	0.036419
36.211412	0.036419
36.244756	0.036419
36.278100	0.036419
36.311443	0.036419
36.344787	0.036419
36.378131	0.036419
36.411475	0.036419
36.444819	0.036419
36.478163	0.036417
36.511506	0.036419
36.544850	0.036417
36.578194	0.036413
36.611538	0.036413
36.644882	0.036413
36.678226	0.036413
36.711570	0.036413
36.744913	0.036413
36.778257	0.036413
36.811601	0.036413
36.844945	0.036412
36.878289	0.036412
36.911633	0.036412
36.944976	0.036412
36.978320	0.036412
37.011664	0.036412
37.045008	0.036412
37.078352	0.036411
37.111696	0.037304
37.145039	0.037306
37.178383	0.037306
37.211727	0.037300
37.245071	0.037300
37.278415	0.037300
37.311759	0.037300
37.345103	0.037299
37.378446	0.037299
37.411790	0.037299
37.445134	0.037299
37.478478	0.037299
37.511822	0.037299
37.545166	0.037299
37.578509	0.037299
37.611853	0.037299
37.645197	0.037299
37.678541	0.037299
37.711885	0.037298
37.745229	0.038193
37.778572	0.038193
37.811916	0.038193
37.845260	0.038193
37.878604	0.038193
37.911948	0.038193
37.945292	0.038193
37.978636	0.036397
38.011979	0.038192
38.045323	0.038192
38.078667	0.038192
