time_s	angle_deg
104.499599	-4.500020
104.532943	-5.000020
104.566287	-5.800020
104.599631	-6.600020
104.632975	-5.000020
104.666319	-5.800020
104.699662	-6.600020
104.733006	-5.000020
104.766350	-5.800020
104.799694	-6.300020
104.833038	-6.700020
104.866382	-5.000020
104.899726	-5.700020
104.933069	-6.300020
104.966413	-5.000019
104.999757	-5.700019
105.033101	-6.300019
105.066445	-5.000019
105.099789	-5.000019
105.133132	-5.800019
105.166476	-6.700019
105.199820	-5.000019
105.233164	-5.800019
105.266508	-6.600019
105.299852	-5.000020
105.333195	-5.800020
105.366539	-6.600020
105.399883	-5.000020
105.433227	-5.800020
105.466571	-6.300020
105.499915	-5.000020
105.533259	-5.000020
105.566602	-5.800020
105.599946	-6.300020
105.633290	-4.100020
105.666634	-5.000020
105.699978	-5.800020
105.733322	-6.500020
105.766665	-6.300020
105.800009	-4.100020
105.833353	-7.300020
105.866697	-5.000020
105.900041	-5.800020
105.933385	-4.100020
105.966728	-6.300020
106.000072	-6.300020
106.033416	-5.000020
106.066760	-5.800020
106.100104	-5.000020
106.133448	-5.800020
106.166791	-6.300020
106.200135	-6.600020
106.233479	-7.600020
106.266823	-5.800020
106.300167	-6.600020
106.333511	-5.000020
106.366855	-5.800020
106.400198	-6.300020
106.433542	-5.000020
106.466886	-5.800020
106.500230	-6.700020
106.533574	-5.000020
106.566918	-5.800020
106.600261	-6.700020
106.633605	-7.600020
106.666949	-5.700020
106.700293	-6.600020
106.733637	-5.000020
106.766981	-5.800020
106.800324	-6.600020
106.833668	-7.600020
106.867012	-6.500020
106.900356	-6.300020
106.933700	-6.300020
106.967044	-5.000020
107.000388	-5.800020
107.033731	-6.600020
107.067075	-5.000020
107.100419	-5.800020
107.133763	-6.700020
107.167107	-7.600020
107.200451	-5.800021
107.233794	-6.700021
107.267138	-7.600021
107.300482	-5.800021
107.333826	-6.300021
107.367170	-5.000021
107.400514	-5.800021
107.433857	-6.600021
107.467201	-5.000020
107.500545	-5.800020
107.533889	-6.600020
107.567233	-5.000020
107.600577	-5.800020
107.633921	-6.600020
107.667264	-5.000020
107.700608	-5.800020
107.733952	-6.300020
107.767296	-7.600020
107.800640	-5.800021
107.833984	-6.600021
107.867327	-7.600020
107.900671	-5.700021
107.934015	-6.600021
107.967359	-5.000021
108.000703	-5.800021
108.034047	-6.600021
108.067390	-5.000020
108.100734	-5.800020
108.134078	-6.600020
108.167422	-5.000020
108.200766	-5.700020
108.234110	-6.300020
108.267454	-7.600020
108.300797	-5.800020
108.334141	-6.600020
108.367485	-7.600020
108.400829	-5.800020
108.434173	-6.600020
108.467517	-5.800020
108.500860	-5.900019
108.534204	-6.600020
108.567548	-5.000020
108.600892	-5.800020
108.634236	-6.600020
108.667580	-5.000020
108.700923	-5.800020
108.734267	-6.700020
108.767611	-5.000020
108.800955	-5.800020
108.834299	-6.600020
108.867643	-7.600020
108.900986	-5.700020
108.934330	-6.300020
108.967674	-7.600020
109.001018	-5.800020
109.034362	-6.300020
109.067706	-7.600020
109.101050	-5.800020
109.134393	-6.600020
109.167737	-5.000020
109.201081	-5.800020
109.234425	-6.600020
109.267769	-5.000020
109.301113	-5.000020
109.334456	-6.400020
109.367800	-5.900020
109.401144	-6.700020
109.434488	-5.000020
109.467832	-5.800020
109.501176	-6.600020
109.534519	-5.000020
109.567863	-5.700020
109.601207	-6.300020
109.634551	-5.000019
109.667895	-5.800019
109.701239	-6.300019
109.734583	-5.000019
109.767926	-5.000019
109.801270	-6.500019
109.834614	-6.300019
109.867958	-6.700019
109.901302	-5.000019
109.934646	-5.700019
109.967989	-6.700019
110.001333	-5.000019
110.034677	-6.500019
110.068021	-5.800019
110.101365	-7.600019
110.134709	-5.800020
110.168052	-6.300020
110.201396	-5.000020
110.234740	-5.800020
110.268084	-6.600020
110.301428	-5.000020
110.334772	-5.800020
110.368116	-6.300020
110.401459	-5.000020
110.434803	-5.800020
110.468147	-6.300020
110.501491	-5.000020
110.534835	-5.800020
110.568179	-6.300020
110.601522	-6.700020
110.634866	-7.600020
110.668210	-5.800020
110.701554	-6.600020
110.734898	-5.000020
110.768242	-5.800020
110.801585	-6.300020
110.834929	-7.600020
110.868273	-5.800020
110.901617	-6.300020
110.934961	-6.700020
110.968305	-5.800020
111.001649	-6.300019
111.034992	-6.600019
111.068336	-5.000019
111.101680	-5.700019
111.135024	-6.600019
111.168368	-7.600019
111.201712	-5.800019
111.235055	-6.300019
111.268399	-7.600019
111.301743	-5.800019
111.335087	-6.600019
111.368431	-7.300019
111.401775	-7.300019
111.435118	-7.600019
111.468462	-5.000019
111.501806	-6.500019
111.535150	-6.300019
111.568494	-6.700019
111.601838	-5.000019
111.635182	-6.600019
111.668525	-5.800019
111.701869	-5.000019
111.735213	-6.600019
111.768557	-5.800018
111.801901	-5.000018
111.835245	-6.500018
111.868588	-5.800018
111.901932	-7.600018
111.935276	-5.800018
111.968620	-6.600018
112.001964	-7.300018
112.035308	-7.600017
112.068651	-5.800017
112.101995	-6.300017
112.135339	-6.700017
112.168683	-7.600017
112.202027	-6.600016
112.235371	-5.900016
112.268714	-6.600016
112.302058	-7.600016
112.335402	-6.600016
112.368746	-6.500016
112.402090	-6.600016
112.435434	-7.600016
112.468778	-5.800016
112.502121	-6.300016
112.535465	-7.600016
112.568809	-5.000016
112.602153	-5.800016
112.635497	-6.600016
112.668841	-5.000016
112.702184	-5.800016
112.735528	-6.600016
112.768872	-5.000017
112.802216	-5.800017
112.835560	-6.600017
112.868904	-5.000017
112.902247	-5.800017
112.935591	-6.600017
112.968935	-7.300017
113.002279	-7.300017
113.035623	-7.600017
113.068967	-5.000017
113.102311	-6.500017
113.135654	-6.300017
113.168998	-7.100017
113.202342	-6.600016
113.235686	-7.600017
113.269030	-5.800016
113.302374	-6.300016
113.335717	-7.300016
113.369061	-7.600016
113.402405	-5.000015
113.435749	-6.500015
113.469093	-6.300015
113.502437	-7.100015
113.535780	-6.600015
113.569124	-7.600015
113.602468	-5.800015
113.635812	-6.300015
113.669156	-7.500015
113.702500	-7.700015
113.735844	-7.600015
113.769187	-6.500014
113.802531	-6.300015
113.835875	-7.300015
113.869219	-6.600015
113.902563	-7.600015
113.935907	-5.000014
113.969250	-6.500014
114.002594	-6.600014
114.035938	-7.600014
114.069282	-5.800014
114.102626	-6.300014
114.135970	-7.600013
114.169313	-5.000014
114.202657	-6.500013
114.236001	-6.600013
114.269345	-6.700013
114.302689	-4.800013
114.336033	-6.500013
114.369377	-6.300013
114.402720	-7.300013
114.436064	-7.100013
114.469408	-6.600013
114.502752	-7.600013
114.536096	-4.800013
114.569440	-6.300013
114.602783	-6.300013
114.636127	-7.300013
114.669471	-7.700013
114.702815	-4.900013
114.736159	-6.500013
114.769503	-6.300013
114.802846	-6.600013
114.836190	-7.600013
114.869534	-4.800013
114.902878	-6.500013
114.936222	-6.300013
114.969566	-7.600013
115.002910	-5.000013
115.036253	-6.500013
115.069597	-6.600013
115.102941	-7.300013
115.136285	-7.700012
115.169629	-7.600012
115.202973	-6.300012
115.236316	-6.300012
115.269660	-7.300012
115.303004	-7.100012
115.336348	-7.700012
115.369692	-7.600012
115.403036	-6.500012
115.436379	-6.300012
115.469723	-7.100012
115.503067	-6.600012
115.536411	-7.600012
115.569755	-5.000012
115.603099	-6.300012
115.636442	-6.300012
115.669786	-7.300012
115.703130	-7.700012
115.736474	-5.000011
115.769818	-6.500011
115.803162	-6.300012
115.836506	-6.600012
115.869849	-7.600012
115.903193	-6.400012
115.936537	-6.300012
115.969881	-6.300012
116.003225	-7.300012
116.036569	-7.600012
116.069912	-5.800012
116.103256	-6.300012
116.136600	-7.300012
116.169944	-7.300012
116.203288	-7.300012
116.236632	-7.100012
116.269975	-7.300011
116.303319	-7.300012
116.336663	-7.300012
116.370007	-7.100012
116.403351	-7.100011
116.436695	-7.300011
116.470039	-7.300012
116.503382	-7.500012
116.536726	-7.100012
116.570070	-7.300012
116.603414	-7.300012
116.636758	-7.100012
116.670102	-7.100011
116.703445	-7.100011
116.736789	-7.100011
116.770133	-7.100011
116.803477	-7.100011
116.836821	-7.300011
116.870165	-7.300012
116.903508	-7.100012
116.936852	-7.100011
116.970196	-7.300011
117.003540	-7.300012
117.036884	-7.100012
117.070228	-7.300011
117.103572	-7.300012
117.136915	-7.300012
117.170259	-7.300012
117.203603	-7.100012
117.236947	-7.300011
117.270291	-7.300012
117.303635	-7.100012
117.336978	-7.100011
117.370322	-7.600011
117.403666	-5.800011
117.437010	-5.900011
117.470354	-7.300011
117.503698	-7.600011
117.537041	-5.800011
117.570385	-6.600011
117.603729	-7.300011
117.637073	-7.300011
117.670417	-7.600011
117.703761	-5.000011
117.737105	-6.300011
117.770448	-7.100011
117.803792	-7.100011
117.837136	-6.600011
117.870480	-7.300011
117.903824	-7.300011
117.937168	-7.100011
117.970511	-7.600011
118.003855	-5.000010
118.037199	-6.300010
118.070543	-7.100010
118.103887	-6.600010
118.137231	-7.600010
118.170574	-5.000010
118.203918	-6.300010
118.237262	-6.600010
118.270606	-7.600010
118.303950	-6.500010
118.337294	-6.300010
118.370637	-6.600010
118.403981	-7.600011
118.437325	-5.800011
118.470669	-6.300011
118.504013	-7.100011
118.537357	-7.100011
118.570701	-7.500011
118.604044	-7.300011
118.637388	-7.300011
118.670732	-7.500011
118.704076	-7.500011
118.737420	-7.700011
118.770764	-7.300010
118.804107	-7.600011
118.837451	-6.300011
118.870795	-6.300011
118.904139	-7.100011
118.937483	-7.300011
118.970827	-7.600012
119.004170	-5.000012
119.037514	-6.300012
119.070858	-6.300012
119.104202	-6.600012
119.137546	-5.000012
119.170890	-6.300012
119.204234	-6.300012
119.237577	-7.100012
119.270921	-7.100012
119.304265	-7.100012
119.337609	-7.100012
119.370953	-7.100012
119.404297	-7.100012
119.437640	-6.600012
119.470984	-7.600012
119.504328	-5.800012
119.537672	-6.600012
119.571016	-7.600012
119.604360	-5.800012
119.637703	-6.300012
119.671047	-7.300012
119.704391	-7.500012
119.737735	-7.100012
119.771079	-7.100012
119.804423	-7.100012
119.837767	-6.600012
119.871110	-7.300012
119.904454	-7.600012
119.937798	-5.800012
119.971142	-5.900012
120.004486	-7.100012
120.037830	-7.100011
120.071173	-7.300011
120.104517	-7.100012
120.137861	-6.600011
120.171205	-7.600012
120.204549	-5.000012
120.237893	-6.500012
120.271236	-6.300012
120.304580	-7.100012
120.337924	-7.100012
120.371268	-7.100012
120.404612	-7.100012
120.437956	-7.100012
120.471300	-7.100012
120.504643	-7.100012
120.537987	-7.100012
120.571331	-7.100012
120.604675	-7.100012
120.638019	-6.600012
120.671363	-7.100012
120.704706	-7.300012
120.738050	-7.600012
120.771394	-5.800012
120.804738	-6.300012
120.838082	-7.100012
120.871426	-7.300012
120.904769	-7.300012
120.938113	-7.100012
120.971457	-6.600011
121.004801	-5.000012
121.038145	-5.800012
121.071489	-6.300012
121.104833	-5.000012
121.138176	-5.800012
121.171520	-6.300012
121.204864	-5.000012
121.238208	-5.000012
121.271552	-5.800012
121.304896	-6.300012
121.338239	-5.000012
121.371583	-5.800012
121.404927	-6.300012
121.438271	-4.300012
121.471615	-5.800012
121.504959	-6.300012
121.538302	-4.100012
121.571646	-3.200012
121.604990	-5.400012
121.638334	-5.000012
121.671678	-5.800012
121.705022	-6.300012
121.738365	-5.000012
121.771709	-5.800012
121.805053	-4.200012
121.838397	-5.800012
121.871741	-4.300012
121.905085	-5.800012
121.938429	-3.400012
121.971772	-6.300012
122.005116	-4.000012
122.038460	-4.200012
122.071804	-6.300012
122.105148	-3.400012
122.138492	-3.400012
122.171835	-3.400012
122.205179	-3.400012
122.238523	-3.400012
122.271867	-3.400012
122.305211	-3.700012
122.338555	-3.400012
122.371898	-3.700012
122.405242	-3.700012
122.438586	-3.300012
122.471930	-3.200012
122.505274	-5.000012
122.538618	-5.800012
122.571962	-4.300012
122.605305	-4.300012
122.638649	-5.800012
122.671993	-3.400012
122.705337	-3.200012
122.738681	-4.300012
122.772025	-5.000012
122.805368	-5.800012
122.838712	-4.000012
122.872056	-4.100012
122.905400	-3.200012
122.938744	-4.500012
122.972088	-5.800012
123.005431	-3.200012
123.038775	-4.300012
123.072119	-3.300012
123.105463	-3.300012
123.138807	-3.200012
123.172151	-1.600012
123.205495	-4.500012
123.238838	-2.600012
123.272182	-3.300012
123.305526	-4.300012
123.338870	-1.700012
123.372214	-1.600012
123.405558	-1.600012
123.438901	-1.600012
123.472245	-1.600012
123.505589	-1.600012
123.538933	-1.600012
123.572277	-1.600012
123.605621	-1.600012
123.638964	-1.600012
123.672308	-1.600012
123.705652	-1.600012
123.738996	-1.600012
123.772340	-1.600012
123.805684	-1.600012
123.839028	-1.600012
123.872371	-1.600012
123.905715	-1.600012
123.939059	-1.500012
123.972403	-1.700012
124.005747	-1.700012
124.039091	-2.000012
124.072434	6.299988
124.105778	9.799988
124.139122	11.799988
124.172466	15.499988
124.205810	13.499988
124.239154	13.499988
124.272497	12.899988
124.305841	13.499987
124.339185	12.399987
124.372529	13.499987
124.405873	14.199987
124.439217	13.499987
124.472561	13.499987
124.505904	13.499987
124.539248	13.499987
124.572592	13.499987
124.605936	13.499987
124.639280	12.399987
124.672624	11.799987
124.705967	13.499987
124.739311	13.499987
124.772655	13.499987
124.805999	13.499987
124.839343	13.499987
124.872687	13.499987
124.906030	13.099987
124.939374	13.499987
124.972718	13.499987
125.006062	13.499987
125.039406	13.499987
125.072750	13.499987
125.106093	13.499987
125.139437	13.499987
125.172781	13.499987
125.206125	13.499987
125.239469	14.199987
125.272813	13.499987
125.306157	13.499987
125.339500	13.499987
125.372844	13.099987
125.406188	13.499987
125.439532	14.499987
