121.8641152	-1030180	363	1181.2	0.344
122.2821312	-1028062	361	1178.9	0.342
122.6213031	-1027520	356	1178.2	0.337
122.9467287	-1031306	359	1182.5	0.340
123.3809128	-1038032	359	1190.1	0.340
123.7836201	-1042302	355	1194.8	0.336
124.2017777	-1041700	358	1194.2	0.339
124.6199117	-1044586	365	1197.4	0.346
124.9457626	-1044240	362	1197.0	0.343
125.3340392	-1045074	359	1198.0	0.340
125.7545545	-1049468	360	1202.9	0.341
126.172493	-1049382	369	1202.8	0.350
126.4982634	-1054600	364	1208.7	0.345
126.8846095	-1054690	361	1208.8	0.342
127.3188181	-1054740	359	1208.8	0.340
127.7387533	-1059214	366	1213.8	0.347
128.1559258	-1059712	360	1214.4	0.341
128.5135422	-1059058	364	1213.7	0.345
128.9169917	-1062796	367	1217.9	0.348
129.3339386	-1062374	365	1217.4	0.346
129.7530153	-1060324	364	1215.1	0.345
130.0792773	-1058682	361	1213.2	0.342
130.4057307	-1058200	363	1212.7	0.344
130.8407154	-1057086	357	1211.5	0.338
131.2597494	-1055720	362	1209.9	0.343
131.6781976	-1059938	356	1214.7	0.337
132.0179768	-1061184	362	1216.1	0.343
132.4367657	-1066794	365	1222.4	0.346
132.8562844	-1067692	366	1223.4	0.347
133.2749341	-1068150	370	1223.9	0.351
133.6772339	-1069100	364	1224.9	0.345
134.0793269	-1068318	365	1224.1	0.346
134.4976344	-1069152	370	1225.0	0.351
134.9017234	-1069882	365	1225.8	0.346
135.3190305	-1070224	360	1226.2	0.341
135.7244723	-1071750	366	1227.9	0.347
136.0493016	-1073316	364	1229.7	0.345
136.468672	-1075086	365	1231.7	0.346
136.8729141	-1073552	368	1229.9	0.349
137.3081574	-1077570	366	1234.5	0.347
137.7260556	-1080500	369	1237.8	0.350
138.0511935	-1083694	371	1241.3	0.352
138.4549556	-1085952	368	1243.9	0.349
138.8741076	-1083610	370	1241.2	0.351
139.2442112	-1080408	369	1237.6	0.350
139.6502399	-1077826	370	1234.7	0.351
140.0389817	-1081080	374	1238.4	0.355
140.4433002	-1084918	374	1242.7	0.355
140.8157935	-1093116	370	1251.9	0.351
141.234797	-1094986	370	1254.0	0.351
141.6526654	-1101184	371	1261.0	0.352
141.9767156	-1100478	371	1260.2	0.352
142.3816214	-1017648	366	1167.2	0.347
142.8003812	-1018982	371	1168.7	0.352
143.2195058	-1013964	370	1163.0	0.351
143.6378868	-1017118	378	1166.6	0.359
144.0406313	-1014064	376	1163.1	0.357
144.4576478	-1011634	373	1160.4	0.354
144.8620291	-1013608	374	1162.6	0.355
145.2807417	-1013070	374	1162.0	0.355
145.6852484	-1012896	377	1161.8	0.358
146.0436881	-1017562	374	1167.1	0.355
146.4455845	-1028792	378	1179.7	0.359
146.9102705	-1037406	374	1189.3	0.355
147.326798	-1042380	380	1194.9	0.361
147.7434998	-1046010	376	1199.0	0.357
148.1492457	-1050776	376	1204.4	0.357
148.5501513	-1052546	378	1206.4	0.359
148.8916728	-1055964	375	1210.2	0.356
149.309835	-1058050	377	1212.5	0.358
149.7279372	-1058912	379	1213.5	0.360
150.2078707	-1055034	382	1209.1	0.363
150.6292844	-1050840	382	1204.4	0.363
151.0328991	-1051554	383	1205.2	0.365
151.3873589	-1055068	385	1209.2	0.367
151.7569618	-1054874	378	1209.0	0.359
152.1759565	-1053320	383	1207.2	0.365
152.5317552	-1054430	379	1208.5	0.360
153.0111196	-1050876	390	1204.5	0.372
153.4140277	-1046806	386	1199.9	0.368
153.8318744	-1045060	383	1197.9	0.365
154.2340403	-1044802	384	1197.7	0.366
154.6541173	-1043600	383	1196.3	0.365
154.9800472	-1042602	381	1195.2	0.362
155.3846381	-1047280	381	1200.4	0.362
155.8022213	-1045950	381	1198.9	0.362
156.2205222	-1048884	386	1202.2	0.368
156.6401932	-1052042	384	1205.8	0.366
157.0585203	-1052468	383	1206.3	0.365
157.4769051	-1051586	383	1205.3	0.365
157.8922355	-1038660	386	1190.8	0.368
158.2200615	-1035542	382	1187.3	0.363
158.5772941	-1033612	383	1185.1	0.365
158.9974477	-1032242	387	1183.5	0.369
159.4166021	-1029104	387	1180.0	0.369
159.8241978	-1024846	385	1175.2	0.367
160.2284069	-1019064	382	1168.7	0.363
160.6350627	-1011970	359	1160.8	0.340
161.0381622	-913060	361	1049.7	0.342
161.3797498	-917162	357	1054.3	0.338
161.7207556	-917416	359	1054.6	0.340
162.1423771	-915566	359	1052.5	0.340
162.4835718	-918644	362	1055.9	0.343
162.8891268	-919358	357	1056.8	0.338
163.2930329	-918172	362	1055.4	0.343
163.6915355	-916674	357	1053.7	0.338
164.096508	-918992	362	1056.3	0.343
164.501513	-919114	359	1056.5	0.340
164.9046369	-917876	354	1055.1	0.335
165.3220308	-917018	360	1054.1	0.341
165.7255113	-918988	358	1056.3	0.339
166.0810351	-919254	361	1056.6	0.342
166.4988418	-917940	364	1055.2	0.345
166.9014962	-918342	359	1055.6	0.340
167.2431815	-918496	360	1055.8	0.341
167.661984	-918410	360	1055.7	0.341
168.0643246	-918800	360	1056.1	0.341
168.4836912	-918662	360	1056.0	0.341
168.8881416	-918900	360	1056.2	0.341
169.275502	-919026	363	1056.4	0.344
169.6974936	-918812	365	1056.1	0.346
170.0987115	-919398	357	1056.8	0.338
170.425817	-919012	359	1056.4	0.340
170.8303983	-924710	361	1062.8	0.342
171.2338517	-934316	361	1073.6	0.342
171.5767231	-938366	358	1078.1	0.339
171.9038708	-941440	364	1081.6	0.345
172.2894752	-945646	360	1086.3	0.341
172.7071915	-949716	359	1090.9	0.340
173.0941684	-951194	361	1092.5	0.342
173.5150738	-953900	360	1095.5	0.341
173.9352059	-954902	362	1096.7	0.343
174.3219936	-959080	364	1101.4	0.345
174.7231209	-931378	346	1070.3	0.327
175.1406755	-883572	341	1016.6	0.322
175.4875314	-887246	347	1020.7	0.328
175.90874	-895104	349	1029.5	0.330
176.357435	-898742	350	1033.6	0.331
176.774987	-905944	349	1041.7	0.330
177.1914983	-911406	342	1047.8	0.323
177.5814376	-915552	351	1052.5	0.332
178.0298967	-919646	347	1057.1	0.328
178.4481666	-925884	345	1064.1	0.326
178.8680871	-930798	340	1069.6	0.320
179.2106318	-934576	351	1073.8	0.332
179.6274269	-936638	352	1076.2	0.333
180.0311751	-940236	350	1080.2	0.331
180.4824822	-943234	352	1083.6	0.333
180.885874	-945280	357	1085.9	0.338
181.2583559	-947430	351	1088.3	0.332
181.6785033	-951684	356	1093.1	0.337
182.0344307	-951666	358	1093.0	0.339
182.3604558	-953288	357	1094.9	0.338
182.7789094	-954866	361	1096.6	0.342
183.1981235	-957168	345	1099.2	0.326
183.6010356	-957302	362	1099.4	0.343
184.004452	-957328	359	1099.4	0.340
184.3921306	-959402	359	1101.7	0.340
184.8089256	-959568	361	1101.9	0.342
185.2128503	-960194	363	1102.6	0.344
185.6476109	-960960	363	1103.5	0.344
186.0506291	-962522	367	1105.2	0.348
186.4235537	-963496	370	1106.3	0.351
186.8124444	-962850	360	1105.6	0.341
187.2322419	-962804	365	1105.6	0.346
187.6503088	-964510	364	1107.5	0.345
188.0696127	-964896	368	1107.9	0.349
188.4274249	-965118	363	1108.2	0.344
188.8465087	-966416	375	1109.6	0.356
189.2509515	-965702	361	1108.8	0.342
189.6686809	-961376	364	1103.9	0.345
189.9940641	-959146	371	1101.4	0.352
190.4158795	-958904	364	1101.2	0.345
190.8351169	-957322	365	1099.4	0.346
191.266099	-955904	373	1097.8	0.354
191.6083543	-956054	363	1098.0	0.344
191.9494131	-955996	372	1097.9	0.353
192.3390262	-954746	364	1096.5	0.345
192.6762474	-954292	365	1096.0	0.346
193.0948811	-954122	365	1095.8	0.346
